EPE  List of violations found by TARA screening [TARA Ver 2301.2.0.0 64-bit - Fri Jul 21 13:12:24 2023]

 Loadflow Case: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\22SSWG_2025_SUM1_U1_04-study.raw
 Study Data File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\SUB.sub
 Contingency File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\AllERCOTcontingencies.con (total 28174 contingencies)
 Monitor File: C:\Users\skunkolienkar\Desktop\StudyAreaAutomation\Input Data\SSWGCase\Pecan Praire\files\MON.mon
 Exclude File: not provided
 Pre/Post Contingency PAR Adjustment: Adjusted/Fixed

 6123 violations for snapshot 22SSWG_2025_SUM1_U1_04-study.raw
Index of Constraint, Monitored Facility                                    , Cont ID, Cont Name                                                      ,Type,   Rating,   Flow MW, Loading%, Head-Room, TotRedis,# of Harmer Up,# of Helper Down,# of External Harmer Up,Dfax Transfer,MW Transfer,MW Impact,Harmer Type,Harmer Max MW,Harmer Base MW,Harmer Bus#,BusName     ,Harmer Machine ID,Harmer Dfax Swing Ref,AreaName    ,ZoneName    ,Helper Type,Helper Max MW,Helper Base MW,Helper Room To Move Down MW (May have negative Pmin),Helper Bus#,BusName     ,Helper Machine ID,Helper Dfax Swing Ref,AreaName    ,ZoneName    ,
6044, 44500 OBRIEN_B345A  345  999732 1ZESS63773    138  A2 ,12352,DB_ID_20010,P2,   1000.0,    398.1,    39.81,    601.9,     121.7,   1,   1,   0,   0.01599,    140.91,      2.25,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.05896,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04298,,,
6045,  1907 VENUS_N5      345   11885 EVRMNTIE3_5   345  1  ,27926,DB_ID_36599,P7,   1072.0,    426.6,    39.80,    645.4,     122.5,   1,   1,   0,   0.01790,    140.91,      2.52,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00158,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.01632,,,
6046,999967 21INR0428A    345   46020 LIMEST_POI_5  345  50 ,19354,DB_ID_41547,P5,   2438.0,    895.5,    36.73,   1542.5,     125.1,   1,   1,   0,   0.63694,    224.79,    143.18,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.59441,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.04254,,,
6047,999967 21INR0428A    345   46020 LIMEST_POI_5  345  50 ,25038,DB_ID_39623,P5,   2438.0,    890.5,    36.53,   1547.5,     133.9,   1,   1,   0,   0.63229,    224.79,    142.13,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.59486,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.03743,,,
6048,999732 1ZESS63773    138   44510 OBRIEN_B138A  138  A2 ,12352,DB_ID_20010,P2,   1000.0,    397.8,    39.78,    602.2,     135.6,   1,   1,   0,   0.01599,    224.79,      3.59,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.05896,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,   0.04298,,,
6049,  7053 L_NOELKE5_1Y  345   76015 L_CEDACA5_1Y  345  2  ,13037,DB_ID_25822,P2,   1784.0,    711.8,    39.90,   1072.2,     138.0,   1,   1,   0,   0.01329,    140.91,      1.87,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,  -0.01310,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.02638,,,
6050,  7053 L_NOELKE5_1Y  345   76015 L_CEDACA5_1Y  345  2  ,14762,DB_ID_25822_Dup1,P4,   1784.0,    711.8,    39.90,   1072.2,     138.0,   1,   1,   0,   0.01329,    140.91,      1.87,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,  -0.01310,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.02638,,,
6051,993687 21INR0203A    345    3687 BELL_E_5      345  2  , 4807,DB_ID_48612,P1,   1631.0,    642.0,    39.36,    989.0,     142.5,   1,   1,   0,   0.07279,    224.79,     16.36,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.04484,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.02794,,,
6052,  2432 TRICRN1_5     345    2437 FRNY1_5       345  1  ,18788,DB_ID_47130,P4,    956.0,    377.6,    39.49,    578.4,     149.2,   2,   1,   0,   0.03250,    140.91,      4.58,Machine,    140.91,      0.00,994967,21INR0428S2 ,S2,   0.00691,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,  10000.00,Reference,,,  -0.02559,,,
6052,  2432 TRICRN1_5     345    2437 FRNY1_5       345  1  ,18788,DB_ID_47130,P4,    956.0,    377.6,    39.49,    578.4,     149.2,   2,   1,   0,   0.03250,    224.79,      7.31,Machine,    224.79,      0.00,995967,21INR0428S1 ,S1,   0.00691,ONCOR_ED    ,TEMPORARY   ,Subsystem,  10000.00,  10000.00,   9859.09,Reference,,,  -0.02559,,,
